Extraction Date:,5/30/2018,,,,,,,,,,,,,,,,,,,,,,
Updated:,,,,,,,,,,,,,,,,,,,,,,,
Revised:,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
School Year,State,Exit Code,Disability,Age 14,Age 15,Age 16,Age 17,Age 18,Age 19,Age 20,Age 21,Age 14 to 21 total,Hispanic/Latino,American Indian or Alaska Native,Asian,Black or African American,Native Hawaiian or Other Pacific Islander,White,Two or more races,Male,Female,Limited English proficiency,Non-limited English proficiency
2016-2017,Alabama,Died,All Disabilities,3,5,5,5,5,0,2,0,25,0,1,x,13,x,11,0,17,8,0,25
2016-2017,Alabama,Dropped out,All Disabilities,-,-,34,119,83,28,6,0,270,4,4,x,79,x,183,0,206,64,5,265
2016-2017,Alabama,Graduated with a regular high school diploma and received a certificate,All Disabilities,0,0,11,1471,2005,426,156,22,4091,156,41,x,1812,x,2037,37,2668,1423,130,3961
2016-2017,Alabama,Graduated with regular high school diploma,All Disabilities,-,-,10,1263,1697,315,37,2,3324,127,31,x,1429,x,1700,32,2160,1164,103,3221
2016-2017,Alabama,"Moved, known to be continuing",All Disabilities,473,486,504,465,196,64,42,13,2243,68,19,x,866,x,1262,21,1533,710,45,2198
2016-2017,Alabama,Reached maximum age,All Disabilities,-,-,-,-,-,-,60,71,131,0,2,x,72,x,56,0,104,27,0,131
2016-2017,Alabama,Received a certificate,All Disabilities,0,0,1,208,308,111,119,20,767,29,10,x,383,x,337,5,508,259,27,740
2016-2017,Alabama,Total exiting school,All Disabilities,3,5,50,1595,2093,454,224,93,4517,160,48,x,1976,x,2287,37,2995,1522,135,4382
2016-2017,Alabama,Total exiting special education,All Disabilities,617,592,666,2129,2313,527,271,108,7223,240,72,x,3009,x,3810,71,4827,2396,189,7034
2016-2017,Alabama,Transferred to regular education,All Disabilities,141,101,112,69,24,9,5,2,463,12,5,x,167,x,261,13,299,164,9,454
2016-2017,Alabama,Died,Autism,1,0,1,0,0,0,0,0,2,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,Dropped out,Autism,-,-,0,4,0,0,1,0,5,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,Graduated with a regular high school diploma and received a certificate,Autism,0,0,1,129,110,23,24,12,299,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,Graduated with regular high school diploma,Autism,-,-,1,103,91,10,3,0,208,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,"Moved, known to be continuing",Autism,26,18,21,13,5,2,2,1,88,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,Reached maximum age,Autism,-,-,-,-,-,-,12,13,25,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,Received a certificate,Autism,0,0,0,26,19,13,21,12,91,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,Total exiting school,Autism,1,0,2,133,110,23,37,25,331,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,Total exiting special education,Autism,35,22,26,149,115,25,39,26,437,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,Transferred to regular education,Autism,8,4,3,3,0,0,0,0,18,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,Died,Deaf-blindness,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,Dropped out,Deaf-blindness,-,-,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,Graduated with a regular high school diploma and received a certificate,Deaf-blindness,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,Graduated with regular high school diploma,Deaf-blindness,-,-,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,"Moved, known to be continuing",Deaf-blindness,1,1,0,0,0,0,0,0,2,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,Reached maximum age,Deaf-blindness,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,Received a certificate,Deaf-blindness,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,Total exiting school,Deaf-blindness,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,Total exiting special education,Deaf-blindness,1,1,0,0,0,0,0,0,2,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,Transferred to regular education,Deaf-blindness,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,Died,Emotional disturbance,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,Dropped out,Emotional disturbance,-,-,4,10,4,1,0,0,19,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,Graduated with a regular high school diploma and received a certificate,Emotional disturbance,0,0,0,24,27,3,1,0,55,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,Graduated with regular high school diploma,Emotional disturbance,-,-,0,22,21,2,0,0,45,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,"Moved, known to be continuing",Emotional disturbance,33,45,57,38,17,4,1,0,195,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,Reached maximum age,Emotional disturbance,-,-,-,-,-,-,0,1,1,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,Received a certificate,Emotional disturbance,0,0,0,2,6,1,1,0,10,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,Total exiting school,Emotional disturbance,0,0,4,34,31,4,1,1,75,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,Total exiting special education,Emotional disturbance,39,50,66,74,48,10,3,1,291,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,Transferred to regular education,Emotional disturbance,6,5,5,2,0,2,1,0,21,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,Died,Hearing impairment,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,Dropped out,Hearing impairment,-,-,0,0,1,0,0,0,1,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,Graduated with a regular high school diploma and received a certificate,Hearing impairment,0,0,0,13,27,8,1,0,49,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,Graduated with regular high school diploma,Hearing impairment,-,-,0,13,27,6,0,0,46,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,"Moved, known to be continuing",Hearing impairment,4,2,3,4,1,2,1,0,17,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,Reached maximum age,Hearing impairment,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,Received a certificate,Hearing impairment,0,0,0,0,0,2,1,0,3,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,Total exiting school,Hearing impairment,0,0,0,13,28,8,1,0,50,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,Total exiting special education,Hearing impairment,6,3,3,17,29,10,2,0,70,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,Transferred to regular education,Hearing impairment,2,1,0,0,0,0,0,0,3,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,Died,Intellectual disability,0,0,0,0,1,0,1,0,2,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,Dropped out,Intellectual disability,-,-,3,6,9,4,3,0,25,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,Graduated with a regular high school diploma and received a certificate,Intellectual disability,0,0,1,83,178,80,59,7,408,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,Graduated with regular high school diploma,Intellectual disability,-,-,0,27,80,30,10,1,148,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,"Moved, known to be continuing",Intellectual disability,37,54,45,33,23,14,3,0,209,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,Reached maximum age,Intellectual disability,-,-,-,-,-,-,29,9,38,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,Received a certificate,Intellectual disability,0,0,1,56,98,50,49,6,260,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,Total exiting school,Intellectual disability,0,0,4,89,188,84,92,16,473,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,Total exiting special education,Intellectual disability,39,54,49,122,211,98,96,16,685,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,Transferred to regular education,Intellectual disability,2,0,0,0,0,0,1,0,3,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,Died,Multiple disabilities,0,1,2,2,1,0,1,0,7,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,Dropped out,Multiple disabilities,-,-,0,0,0,0,1,0,1,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,Graduated with a regular high school diploma and received a certificate,Multiple disabilities,0,0,0,10,13,4,29,1,57,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,Graduated with regular high school diploma,Multiple disabilities,-,-,0,6,3,0,2,0,11,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,"Moved, known to be continuing",Multiple disabilities,6,5,3,6,1,4,0,0,25,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,Reached maximum age,Multiple disabilities,-,-,-,-,-,-,17,7,24,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,Received a certificate,Multiple disabilities,0,0,0,4,10,4,27,1,46,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,Total exiting school,Multiple disabilities,0,1,2,12,14,4,48,8,89,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,Total exiting special education,Multiple disabilities,6,6,5,18,15,9,48,8,115,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,Transferred to regular education,Multiple disabilities,0,0,0,0,0,1,0,0,1,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,Died,Orthopedic impairment,1,0,0,0,0,0,0,0,1,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,Dropped out,Orthopedic impairment,-,-,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,Graduated with a regular high school diploma and received a certificate,Orthopedic impairment,0,0,0,16,13,5,3,0,37,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,Graduated with regular high school diploma,Orthopedic impairment,-,-,0,12,8,5,1,0,26,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,"Moved, known to be continuing",Orthopedic impairment,1,0,2,3,1,0,0,0,7,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,Reached maximum age,Orthopedic impairment,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,Received a certificate,Orthopedic impairment,0,0,0,4,5,0,2,0,11,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,Total exiting school,Orthopedic impairment,1,0,0,16,13,5,3,0,38,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,Total exiting special education,Orthopedic impairment,2,1,2,19,14,5,4,0,47,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,Transferred to regular education,Orthopedic impairment,0,1,0,0,0,0,1,0,2,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,Died,Other health impairment,0,4,0,3,2,0,0,0,9,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,Dropped out,Other health impairment,-,-,8,24,14,3,1,0,50,-,-,-,-,-,-,-,-,-,-,-
